img_path,gall_mm2,prop_herb,leaf_area_mm2,month,leaf,tree,exp.round
images/segmented_processed/2022_June_isolate/tree18_20220630_leaf1.png,0,0.001060508,3144.828152,June,1,18,2
images/segmented_processed/2022_June_isolate/tree18_20220630_leaf2.png,2.922930921,0,1714.71565,June,2,18,2
images/segmented_processed/2022_June_isolate/tree18_20220630_leaf3.png,0,3.98E-04,2649.890463,June,3,18,2
images/segmented_processed/2022_June_isolate/tree19_20220701_leaf1.png,9.684560819,6.51E-06,3029.532774,June,1,19,2
images/segmented_processed/2022_June_isolate/tree19_20220701_leaf2.png,0,1.41E-04,1791.188556,June,2,19,2
images/segmented_processed/2022_June_isolate/tree19_20220701_leaf3.png,0,2.59E-04,2061.716475,June,3,19,2
images/segmented_processed/2022_June_isolate/tree2_20220701_leaf1.png,0,4.44E-05,2501.812023,June,1,2,2
images/segmented_processed/2022_June_isolate/tree2_20220701_leaf2.png,0,4.08E-04,2531.684699,June,2,2,2
images/segmented_processed/2022_June_isolate/tree2_20220701_leaf3.png,0,7.24E-07,2475.622132,June,3,2,2
images/segmented_processed/2022_June_isolate/tree20_20220701_leaf1.png,33.50528295,6.17E-05,2293.239128,June,1,20,2
images/segmented_processed/2022_June_isolate/tree20_20220701_leaf2.png,0,9.69E-04,2115.436756,June,2,20,2
images/segmented_processed/2022_June_isolate/tree20_20220701_leaf3.png,90.01587812,1.91E-06,2822.214356,June,3,20,2
images/segmented_processed/2022_June_isolate/tree21_20220701_leaf1.png,0,9.21E-05,2588.243682,June,1,21,2
images/segmented_processed/2022_June_isolate/tree21_20220701_leaf2.png,0,0,2483.416017,June,2,21,2
images/segmented_processed/2022_June_isolate/tree21_20220701_leaf3.png,0,0,2158.597926,June,3,21,2
images/segmented_processed/2022_June_isolate/tree22_20220701_leaf1.png,0,2.62E-05,2393.670747,June,1,22,2
images/segmented_processed/2022_June_isolate/tree22_20220701_leaf2.png,12.07344305,2.96E-05,2600.213182,June,2,22,2
images/segmented_processed/2022_June_isolate/tree22_20220701_leaf3.png,0,0,2829.705374,June,3,22,2
images/segmented_processed/2022_June_isolate/tree23_20220701_leaf1.png,0,0.003121923,2894.310929,June,1,23,2
images/segmented_processed/2022_June_isolate/tree23_20220701_leaf2.png,0,0.00536554,2547.779637,June,2,23,2
images/segmented_processed/2022_June_isolate/tree23_20220701_leaf3.png,0,5.29E-05,2944.794659,June,3,23,2
images/segmented_processed/2022_June_isolate/tree24_20220701_leaf1.png,4.89783581,0,3164.894404,June,1,24,2
images/segmented_processed/2022_June_isolate/tree24_20220701_leaf2.png,0,2.44E-04,2823.689262,June,2,24,2
images/segmented_processed/2022_June_isolate/tree24_20220701_leaf3.png,0,0.001060563,3403.200191,June,3,24,2
images/segmented_processed/2022_June_isolate/tree25_20220701_leaf1.png,44.7471871,0.00704279,2609.743622,June,1,25,2
images/segmented_processed/2022_June_isolate/tree25_20220701_leaf2.png,7.686358503,2.08E-05,3275.213093,June,2,25,2
images/segmented_processed/2022_June_isolate/tree26_20220701_leaf1.png,5.288515725,1.97E-04,2593.521445,June,1,26,2
images/segmented_processed/2022_June_isolate/tree26_20220701_leaf2.png,13.12899566,0,3173.295814,June,2,26,2
images/segmented_processed/2022_June_isolate/tree26_20220701_leaf3.png,0,0,3482.144416,June,3,26,2
images/segmented_processed/2022_June_isolate/tree27_20220701_leaf1.png,0,0,2100.528195,June,1,27,2
images/segmented_processed/2022_June_isolate/tree27_20220701_leaf2.png,0,5.74E-05,1529.640898,June,2,27,2
images/segmented_processed/2022_June_isolate/tree27_20220701_leaf3.png,0,8.77E-06,2861.39525,June,3,27,2
images/segmented_processed/2022_June_isolate/tree28_20220701_leaf1.png,0,9.87E-04,2241.307373,June,1,28,2
images/segmented_processed/2022_June_isolate/tree28_20220701_leaf2.png,0,3.70E-04,1960.390593,June,2,28,2
images/segmented_processed/2022_June_isolate/tree28_20220701_leaf3.png,0,2.39E-06,2253.441747,June,3,28,2
images/segmented_processed/2022_June_isolate/tree29_20220701_leaf1.png,0,0,1709.71208,June,1,29,2
images/segmented_processed/2022_June_isolate/tree29_20220701_leaf2.png,0,0,2258.335999,June,2,29,2
images/segmented_processed/2022_June_isolate/tree29_20220701_leaf3.png,2.795691132,1.84E-05,1654.045569,June,3,29,2
images/segmented_processed/2022_June_isolate/tree3_20220701_leaf1.png,32.62356498,1.41E-04,2446.701065,June,1,3,2
images/segmented_processed/2022_June_isolate/tree3_20220701_leaf2.png,23.82430635,4.91E-06,2554.906857,June,2,3,2
images/segmented_processed/2022_June_isolate/tree3_20220701_leaf3.png,0,2.88E-04,2898.153212,June,3,3,2
images/segmented_processed/2022_June_isolate/tree30_20220701_leaf1.png,0,2.13E-04,1410.397502,June,1,30,2
images/segmented_processed/2022_June_isolate/tree30_20220701_leaf2.png,39.41386863,0.001688649,2725.336489,June,2,30,2
images/segmented_processed/2022_June_isolate/tree30_20220701_leaf3.png,0,0,2946.692503,June,3,30,2
images/segmented_processed/2022_June_isolate/tree31_20220701_leaf1.png,0,1.38E-04,1907.378196,June,1,31,2
images/segmented_processed/2022_June_isolate/tree31_20220701_leaf2.png,0,0,1328.740024,June,2,31,2
images/segmented_processed/2022_June_isolate/tree31_20220701_leaf3.png,0,0,2715.062324,June,3,31,2
images/segmented_processed/2022_June_isolate/tree32_20220701_leaf1.png,0,0,2318.898554,June,1,32,2
images/segmented_processed/2022_June_isolate/tree32_20220701_leaf2.png,0,0,2620.870831,June,2,32,2
images/segmented_processed/2022_June_isolate/tree33_20220701_leaf1.png,0,0,3422.942072,June,1,33,2
images/segmented_processed/2022_June_isolate/tree33_20220701_leaf2.png,0,1.90E-04,2494.684803,June,2,33,2
images/segmented_processed/2022_June_isolate/tree33_20220701_leaf3.png,0,0,2839.922192,June,3,33,2
images/segmented_processed/2022_June_isolate/tree34_20220701_leaf1.png,17.17916358,0,2890.861118,June,1,34,2
images/segmented_processed/2022_June_isolate/tree34_20220701_leaf2.png,0,5.17E-06,2426.271015,June,2,34,2
images/segmented_processed/2022_June_isolate/tree34_20220701_leaf3.png,0,0,2362.959363,June,3,34,2
images/segmented_processed/2022_June_isolate/tree35_20220701_leaf1.png,0,0,3385.96368,June,1,35,2
images/segmented_processed/2022_June_isolate/tree35_20220701_leaf2.png,0,0.003854902,2977.627901,June,2,35,2
images/segmented_processed/2022_June_isolate/tree35_20220701_leaf3.png,0,2.21E-06,3250.872659,June,3,35,2
